mlp,/mlp05_May_2022_01_11_44,74m 8s,0.5561268925666809,0.557381272315979
mlp,/mlp05_May_2022_02_24_11,72m 6s,0.6205896735191345,0.6193874478340149
mlp,/mlp05_May_2022_03_36_07,71m 37s,0.6852925419807434,0.685833752155304
mlp,/mlp05_May_2022_04_48_15,71m 48s,0.7342835664749146,0.7336976528167725
mlp,/mlp05_May_2022_06_01_42,73m 7s,0.7654671669006348,0.7667731642723083
mlp,/mlp05_May_2022_07_24_10,82m 8s,0.4765614867210388,0.4770973324775696
mlp,/mlp05_May_2022_08_45_15,80m 46s,0.5736572742462158,0.5756960511207581
mlp,/mlp05_May_2022_10_08_38,83m 3s,0.6520410776138306,0.6518074870109558
mlp,/mlp05_May_2022_11_29_37,80m 40s,0.7232428193092346,0.7209954857826233
resnet,/resnet05_May_2022_11_46_38,710m 18s,0.9486641883850098,0.94818514585495
mlp,/mlp05_May_2022_12_50_22,80m 25s,0.769427478313446,0.7707610130310059
resnet+mlp,/resnet+mlp12_May_2022_17_55_07,276m 55s,0.9492365717887878,0.9470866322517395
resnet+mlp,/resnet+mlp12_May_2022_22_10_26,254m 55s,0.9467163681983948,0.9463573694229126
resnet+mlp,/resnet+mlp13_May_2022_03_32_05,321m 8s,0.9468917846679688,0.9456927180290222
resnet+mlp,/resnet+mlp13_May_2022_08_06_17,273m 51s,0.9443346858024597,0.9436711072921753
